instance_id,family,nominal_weld_count,replicate,generation_seed,raw_weld_count,atomic_weld_count,y6_split_weld_count,y6_split_atomic_count,long_weld_split_count,long_weld_split_atomic_count,atomic_count_increase_ratio,upper_event_count,lower_event_count,total_weld_length_m,total_weld_time_s,horizontal_ratio,vertical_ratio,diagonal_ratio,long_weld_ratio,zero_travel_connection_count,max_zero_travel_chain_length,zero_travel_chain_component_count,quadrant_left_lower,quadrant_right_lower,quadrant_left_upper,quadrant_right_upper,upper_lower_workload_ratio,left_right_workload_ratio,source_hash,atomic_hash,normalization_hash
clustered_n30_r2,clustered,30,2,3008,30,30,0,0,0,0,0.0,6,5,38.12507980274497,3530.0999817356446,0.0,0.0,1.0,0.0,0,1,0,8,8,6,8,0.7479737722096009,0.9481690082882008,708dcfa0078a705b07f1d36cf0a808e2a5a93c5567abdcee3ad4d805a60986fc,87373d1cc727537b113a810025acc42a26bfec42067b261d0bdf09db92c336a9,673f46ee8d0e0ae41a74ba15bf802161f61711241c32bcb41a341f2531dfe60c
clustered_n60_r1,clustered,60,1,3009,60,61,1,2,0,0,0.016666666666666666,6,4,82.36078309529672,7625.998434749701,0.0,0.0,1.0,0.0,0,1,0,15,15,16,14,1.0827992881232023,1.1544392151026042,f1bb7eda6aafc9a39040820571c5e836bad6413ff2f556c564f99aab8c08e553,36ce29b4e9aafad1ae1cd24533d23fbded742d4df3157850c823ebbe110c079b,face562a709cc8622cb679658545b8f48cdefeef6246fbffa054df93569df7b3
clustered_n60_r2,clustered,60,2,3010,60,61,1,2,0,0,0.016666666666666666,6,5,79.28516041766888,7341.2185571915625,0.0,0.0,1.0,0.0,0,1,0,13,16,16,15,1.1719091305957459,1.1197285249182602,4cc5e6ab806b602e8ac6e3156ffd780bcb1bb0421cdcec30d3775b3e9e93e39b,0d57443d60372166e091199df07db1ca1817fb068de7c73df39c26ea4e948d5d,31bff856bded62fd0358e505a05bedd905573b0378ffba20d0db0326aa9a8c21
clustered_n100_r1,clustered,100,1,3011,100,103,3,6,0,0,0.03,6,4,133.2264410171477,12335.78157566183,0.0,0.0,1.0,0.0,0,1,0,24,27,26,23,0.8307141201945412,1.0205307653706117,470fafa5e41a107cacf27ccca379f6eeeb783a2e00134b30f851ab17679ce072,a5baf2388252089fa77d439bb6198b0a4fee66ef6604fcb8a802f7fbc14fec7f,16a97a97ede89728635636125b143819b0df5d2f8704fc457c6383d5cc9f384d
clustered_n100_r2,clustered,100,2,3012,100,104,4,8,0,0,0.04,7,8,135.9482877850408,12587.804424540813,0.0,0.0,1.0,0.0,0,1,0,24,28,25,23,0.953761053376269,0.8748287509476428,de0c8942c92ae73b0c8d934c84c9a61954e6f281d881458e268f486862518b5d,805e7bc7c2660f3e1f8b4787bd05bf1abfb059462fc41cf79a59494aa39a93be,9e9c4e9f4967fc018683f3c7830e9ce5cc66b38afd51f84ef3f2449674405ae5
boundary_dense_n30_r1,boundary_dense,30,1,3013,30,30,0,0,0,0,0.0,6,6,44.17278324778412,4090.072522942974,0.0,0.0,1.0,0.0,0,1,0,7,8,8,7,0.999265355918783,0.7878282877868451,d31165c971a0392e28ed5db5bf56986d00cca31dccd559062fd8d84a9cd804da,daebd976e14df7897d34cc38391d3da540e00c6b1fd012036af71b1e69bde3d2,083bd986984c099e6dd7839946bc9bf1c04d43a123ac37c77d207c906344f96f
boundary_dense_n30_r2,boundary_dense,30,2,3014,30,30,0,0,0,0,0.0,6,6,46.914049472451865,4343.893469671469,0.0,0.0,1.0,0.0,0,1,0,6,9,8,7,1.0982738462335118,0.8707370078915608,109d589a3d6a90b43a6b382f80f7f3a76427e7e8820bd83702e74f29207d9a1d,34e95f3e3ae4c9ebf6fa0dbe47158ba0ae3de790e6415fa374521c52be2c3248,de2888e910d2de91e0a86412c9f0ce07625f4e87191d989bf173a7c9abd0528d
boundary_dense_n60_r1,boundary_dense,60,1,3015,60,60,0,0,0,0,0.0,9,6,88.54280832987965,8198.408178692556,0.0,0.0,1.0,0.0,0,1,0,13,17,17,13,1.1929163611530906,1.30143222343943,56ed4818573da955a492792393f7aae38db22362eaaf048cccb06921ed1fdb65,415cd8bac4d064479c994d7c3931fd0d9b1453ca37c13f18d3ec0743c6746673,874f552c21f21ee0c7213c025faa408844836c8030378cf2da7bc159e72f8d82
boundary_dense_n60_r2,boundary_dense,60,2,3016,60,60,0,0,0,0,0.0,8,7,90.87210839029855,8414.084110212829,0.0,0.0,1.0,0.0,0,1,0,10,20,19,11,0.9225864193651667,0.9581044673056229,f7c19bf9548a8531e8b3a669231ebaf8dff1fa92f435e106fc22852fe1d91cc4,2a32b17733af78e774beec7371fb8c9225503c66ba01ef769bea44995e9e4b0c,9b5d5a4cc9426d73b38aaf721a8929bfa6a95e2a0612be09f1df85c8bbbe1fc8
boundary_dense_n100_r1,boundary_dense,100,1,3017,100,100,0,0,0,0,0.0,7,4,156.36987935151322,14478.692532547522,0.0,0.0,1.0,0.0,0,1,0,22,28,28,22,0.8918866117152124,0.9123542637297087,715b6d63d13c3c98a19991346c6cd1f5594f9cbcdcefb8339c3b1c6ffdb33f50,7742d1521792729230d239dc0443bfad5e2b666d0d68efe0b1e6036ea78a9590,de93beb744b72a481846608d2f87194f5dbcd2d7aebd373fdde1df820d36a299
boundary_dense_n100_r2,boundary_dense,100,2,3018,100,100,0,0,0,0,0.0,8,6,162.91675580043147,15084.884796336244,0.0,0.0,1.0,0.0,0,1,0,20,30,32,18,0.944269304472708,1.0111903710915022,7bf82d6145d986d3179deb7947945713becbf6093097001662861eee9bc6b58e,e53c31bcaaca78746cb651663a25bb33e8a90c3c5ed5f6abe3a8477e10e8f51e,89928d4aece5dc977eeb4454e88d6b29db83980d2e07ca28da44f2b952e3dfb8
long_weld_rich_n30_r1,long_weld_rich,30,1,3019,30,74,0,0,11,55,1.4666666666666666,4,4,86.85951536460743,8042.547718945134,0.0,0.0,1.0,0.36666666666666664,0,1,0,8,7,6,9,0.9878968605047203,0.6626101050531963,1440b900610782fbb3997bb08d3b8d791016491a65fb7303fb03f2f7d5d24f3a,6b43a0a95b9244524437a1fae900e8003631719cb592c970f0ccf7604e557600,42f6389ac04c233e7375877dc3c77c25152847f051c25d5878d78b24f1faa29b
long_weld_rich_n30_r2,long_weld_rich,30,2,3020,30,74,0,0,11,55,1.4666666666666666,8,4,83.86387106577953,7765.173246831434,0.0,0.0,1.0,0.36666666666666664,0,1,0,7,8,8,7,0.841009462649984,1.069741910846564,e8f53e6fde216113c153ba2abe2d6b079990e8f893c1046fc2322301b1615bd9,cda6c421813fb8051018058f4295065303455ee5beb8865d755db3e72dc97b69,da0e8960ab8da49985aee3ef26f817936146ace6527858e28b1f277e338c7cc3
long_weld_rich_n60_r1,long_weld_rich,60,1,3021,60,148,0,0,22,110,1.4666666666666666,4,4,172.20834498967722,15945.217128673818,0.0,0.0,1.0,0.36666666666666664,0,1,0,17,13,16,14,1.0115906203669376,1.320344781622016,ca473fe998ed2faf71bfda42df4cdef7e2dd262e1a82357cf6323e84bca68c5a,e3ab681e99d0a169728d6ad153da3b808bda9b0e9c170ea85ff93c2843a115a5,fa4207d67e93e6303684e603515d5f88179cecc453d57773c94db79949926de0
long_weld_rich_n60_r2,long_weld_rich,60,2,3022,60,148,0,0,22,110,1.4666666666666666,4,4,174.47244214136833,16154.855753830409,0.0,0.0,1.0,0.36666666666666664,0,1,0,15,15,14,16,1.0284638224496023,0.8508418586245536,f99890bb81a94cc26b3eb33aefc4c29af727578b5b77c9e6d0ce889f48058c62,236071b44ed0a36a009e9d76c8bb2ba5651e751422043387a37239e32e69aeef,0f6036ee1bd38ce9290655a96a22297beee36b3f49c7dcde361d6e2930a00004
long_weld_rich_n100_r1,long_weld_rich,100,1,3023,100,244,0,0,36,180,1.44,4,4,280.73157499019567,25993.664350944047,0.0,0.0,1.0,0.36,0,1,0,26,24,25,25,1.0109262901050367,0.9553511670692607,796c10e64994ca890dffbc63421aab6bd84f95016dcc6e27b8993499279b3e3a,2f8f3ed92e32b92080ab246e2f4af3be6331e021a2771a52f8dcd6e796b417a4,fed7ddd7040dddc92dbc0ac1b901071c1ce29c78d0cf9b967a4611bb528636f8
long_weld_rich_n100_r2,long_weld_rich,100,2,3024,100,244,0,0,36,180,1.44,4,4,283.4750605967327,26247.690795993738,0.0,0.0,1.0,0.36,0,1,0,21,29,27,23,1.0016580720058315,0.9742208065236941,33d3acf513d0f169bb20a326ccac8beccf7b6e83585304133bfcdd2462f995be,1bc7ed7b54958ecf3d141762be3e5752e2ca754c2758da0f48e106611f1d21d7,816e368bff478bb120a547981f182981a4d89cc617f598133cc7726a3189f4fd
zero_travel_chain_n30_r1,zero_travel_chain,30,1,3025,30,30,0,0,0,0,0.0,10,16,33.90113497183433,3138.99397887355,0.0,0.0,1.0,0.0,16,8,4,8,10,5,7,0.7814506457334937,0.7787119754423313,7f0ce85a9605f3006c6cd72015ed7801432bd0d722be214bc75ae5180f44df2f,54c8140e8ddcb8e34e977cbeb9ebcb3ea46ca158f31893b3a42711c2380d271c,806501488e6a18114e839b1a99159b23c2bcecbc0e2de6d6857a7afbd9355774
zero_travel_chain_n30_r2,zero_travel_chain,30,2,3026,30,30,0,0,0,0,0.0,9,12,30.66176503994885,2839.0523185137827,0.0,0.0,1.0,0.0,16,8,4,7,11,4,8,0.6496370170809824,0.6443473141783822,86a4a7f85bd04faed673daa5d4660916159521c58913c41993e93c3928254db6,799fc67ca491d98919633e17889ed2f0817ad2d83f340097c52bab910d92e1dd,d176f23738569b2731c641f513cb68d9408591e3109e11258b15ba278a336edd
zero_travel_chain_n60_r1,zero_travel_chain,60,1,3027,60,60,0,0,0,0,0.0,8,9,84.33836241456322,7809.1076309780765,0.0,0.0,1.0,0.0,16,8,4,13,20,13,14,0.800388446385403,0.8071832237473887,92c48c5bb6331b7c79bfab4426af2b89aab4b5fb532c2db42823c44c979c26d3,f5acbb125c9d9c8e1165f45b8107b7de2573681bf1182ea3ea48b09dfe521f63,b326a31e95452a81abc0211b7631c27f7d468357d79991b47a425a8796370c89
zero_travel_chain_n60_r2,zero_travel_chain,60,2,3028,60,60,0,0,0,0,0.0,10,6,81.04111252448342,7503.806715229947,0.0,0.0,1.0,0.0,16,8,4,14,19,15,12,0.7395954372990164,1.0485054753594383,d6c882bc8c4cd755b56d6a84d00a9edd0ba383c0242f933b20f13a9f42944b50,b99ede5b38f69389522454ca6fa84a2383e91659ea24e106b3a0ad9ccf587b74,bb53ca5a1d9c7762458fc6f40d55394824b8593e3fb19bba50b44112a2ca317d
zero_travel_chain_n100_r1,zero_travel_chain,100,1,3029,100,100,0,0,0,0,0.0,9,7,145.40885365282514,13463.782745631952,0.0,0.0,1.0,0.0,16,8,4,23,30,23,24,0.9003478512140832,0.9502078689782345,4c6b96b081345fd9e0e389682c5d619635d3dee37af02362c95a40ec72a02f05,8ab12019fd5aad3445bddf000a7ae158c6b3f980271b9714b94372eb9878cc09,bf0eacaadfbcf25be983f1e2024dbbc15825aebaf5a1f21b2658bc91144ab88c
zero_travel_chain_n100_r2,zero_travel_chain,100,2,3030,100,100,0,0,0,0,0.0,7,5,148.08317327905064,13711.404933245429,0.0,0.0,1.0,0.0,16,8,4,26,27,22,25,0.8916808916000071,0.9834856559767924,1107fe17535da407e9ec2ca0dc97dcb4e2e206dc64edd631fabb9d76d9ee5104,be2a193311e6eb2bb3dbab4bbb147518297aa6b59f85fd33ab15e8a64d6de469,c61d82b6b3d844dc469b0115804f0de4a435fb287d3917ca1520e6c4ae280740
load_skewed_n30_r1,load_skewed,30,1,3031,30,30,0,0,0,0,0.0,4,5,54.439863961255966,5040.72814456074,0.0,0.0,1.0,0.0,0,1,0,2,10,14,4,2.0997314171545676,1.3822663311200192,b4541cfc434b9c7c7f8de5b911de7a781c43b0a4a3b55576df0f541cbde3ec84,1f269377bb7baf258d8413a636ef118b77f119b106edb71650c3e97e70301a83,b359d0bf5c89b201603c2fc832ee274ae08580dc70c8ebc0e69090930da49cd9
load_skewed_n30_r2,load_skewed,30,2,3032,30,30,0,0,0,0,0.0,3,3,58.0844006757,5378.18524775,0.0,0.0,1.0,0.0,0,1,0,2,10,14,4,2.147676768085776,1.3792508035146565,9031b3a9c7add8a288f99ec541e3ca297013ded9ed8bf9791e8c7155971685b7,24a3b5bce9b9ae49e0d2da6cb7684033b98b2121fedfc22def10cc65f8467887,f6bb4413ca2c8cd100623f81c547caf58150708a335a430ab27f7da0e4ae881d
load_skewed_n60_r1,load_skewed,60,1,3033,60,60,0,0,0,0,0.0,3,4,113.24085452009186,10485.264307415917,0.0,0.0,1.0,0.0,0,1,0,4,20,28,8,2.159454934488281,1.374318893556968,33bfc0dc60fed2f844f08a477777dae7bc1079be6f2936b5d682c73641306afb,096cf387aa942fb103724b2a61dddc659bf65b8c85b4d2cbba1442e759092ae6,5ff217323ad4dd17355a9d25cfc9617e5cea3b64edb404571658f124fc4859cc
load_skewed_n60_r2,load_skewed,60,2,3034,60,60,0,0,0,0,0.0,3,4,112.8915917253537,10452.92515975497,0.0,0.0,1.0,0.0,0,1,0,4,20,28,8,2.1366871616919334,1.417442076038945,ba4a4540f2409f36a9726e6c5844ac78b42c99fbd1be4a905653ee8156bf5ce7,ba280b8ef70f0acdb435402fcd1d331ff0165be07d71e218a12bc3ac217a9548,911aa59e4b79c7a410a2dd7057a3511b3c28dd218b0c4a92e82f29f48b914f5a
load_skewed_n100_r1,load_skewed,100,1,3035,100,100,0,0,0,0,0.0,3,4,188.59656888707562,17462.645267321815,0.0,0.0,1.0,0.0,0,1,0,8,32,48,12,2.190493089730281,1.5752597723707755,8ad1e9480151bdee7306e999fa02da0be39cf4b1cc2153d8358d584b5a22ef3d,98363b7c52ab4ad9ae73fe369cc480f385b76936673f63ac123905d062653c4a,7df98537e06c7c65451ff0296334128d890b8976d1be4a5d45229abf694eb14c
load_skewed_n100_r2,load_skewed,100,2,3036,100,100,0,0,0,0,0.0,3,4,186.19781846780464,17240.53874701895,0.0,0.0,1.0,0.0,0,1,0,8,32,48,12,2.1943314756355465,1.5824573680320257,15ed0521f68d284eb6c00835c5c8cf6db4576543825c49554fa0b9eba2e90448,25df703fa356aaf32091e4d20b505fd94d6bfc6faa102c4598799938121aec59,7c69cbdcc612a55e8577686e37a20cbfdd1785c9c3ed848f2e6efc05af940df6
