instance,atomic_weld_id,parent_weld_id,parent_original_id,half_region,segment_index,segment_count
w30,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1|seg=1of1,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1,inst0013|group=143-GR14A|row=0000,lower,1,1
w30,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1|seg=1of1,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1,inst0014|group=804-FR314A|row=0000,upper,1,1
w30,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1|seg=1of1,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1,inst0015|group=165-SR1A|row=0000,upper,1,1
w30,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1,inst0016|group=642-BL14A.dxf|row=0000,lower,1,1
w30,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1,inst0017|group=143-FR76A|row=0000,upper,1,1
w30,inst0018|group=826BK312A|row=0000|half=lower|part=1of1|seg=1of1,inst0018|group=826BK312A|row=0000|half=lower|part=1of1,inst0018|group=826BK312A|row=0000,lower,1,1
w30,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1,inst0019|group=183-CM2B.dxf|row=0000,upper,1,1
w30,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1|seg=1of1,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1,inst0020|group=145-LB17A|row=0000,upper,1,1
w30,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1,inst0021|group=145-LB20A|row=0000,upper,1,1
w30,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1,inst0022|group=143-FR76A|row=0000,upper,1,1
w30,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1|seg=1of1,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1,inst0023|group=801-FR322A|row=0000,upper,1,1
w30,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1,inst0024|group=642-BL14A|row=0000,upper,1,1
w45,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1,inst0000|group=804-FR313A|row=0000,lower,1,1
w45,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1,inst0001|group=804-FR313A|row=0000,lower,1,1
w45,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1|seg=1of1,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1,inst0002|group=143-FR65A|row=0000,upper,1,1
w45,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1|seg=1of1,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1,inst0003|group=804-FR315A|row=0000,upper,1,1
w45,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1,inst0004|group=642-BL14A.dxf|row=0000,upper,1,1
w45,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0000,lower,1,1
w45,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0001,lower,1,1
w45,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0002,lower,1,1
w45,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0003,lower,1,1
w45,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1|seg=1of1,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1,inst0006|group=312-GR2C|row=0000,lower,1,1
w45,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1|seg=1of1,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1,inst0007|group=143-GR14A|row=0000,upper,1,1
w45,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1,inst0008|group=145-LB20A|row=0000,upper,1,1
w45,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1,inst0009|group=642-BL14A|row=0000,upper,1,1
w45,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2,inst0010|group=804-FR314A|row=0000,lower,1,1
w45,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2,inst0010|group=804-FR314A|row=0000,upper,1,1
w45,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1,inst0011|group=804-FR313A.dxf|row=0000,lower,1,1
w45,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0000,upper,1,1
w45,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0001,upper,1,1
w45,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0002,upper,1,1
w45,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1|seg=1of1,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1,inst0013|group=143-GR14A|row=0000,lower,1,1
w45,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1|seg=1of1,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1,inst0014|group=804-FR314A|row=0000,upper,1,1
w45,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1|seg=1of1,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1,inst0015|group=165-SR1A|row=0000,upper,1,1
w45,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1,inst0016|group=642-BL14A.dxf|row=0000,lower,1,1
w45,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1,inst0017|group=143-FR76A|row=0000,upper,1,1
w45,inst0018|group=826BK312A|row=0000|half=lower|part=1of1|seg=1of1,inst0018|group=826BK312A|row=0000|half=lower|part=1of1,inst0018|group=826BK312A|row=0000,lower,1,1
w45,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1,inst0019|group=183-CM2B.dxf|row=0000,upper,1,1
w45,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1|seg=1of1,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1,inst0020|group=145-LB17A|row=0000,upper,1,1
w45,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1,inst0021|group=145-LB20A|row=0000,upper,1,1
w45,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1,inst0022|group=143-FR76A|row=0000,upper,1,1
w45,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1|seg=1of1,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1,inst0023|group=801-FR322A|row=0000,upper,1,1
w45,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1,inst0024|group=642-BL14A|row=0000,upper,1,1
w45,inst0025|group=804-FR314A|row=0000|half=lower|part=1of2|seg=1of1,inst0025|group=804-FR314A|row=0000|half=lower|part=1of2,inst0025|group=804-FR314A|row=0000,lower,1,1
w45,inst0025|group=804-FR314A|row=0000|half=upper|part=2of2|seg=1of1,inst0025|group=804-FR314A|row=0000|half=upper|part=2of2,inst0025|group=804-FR314A|row=0000,upper,1,1
w45,inst0026|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0026|group=143-FR76A|row=0000|half=upper|part=1of1,inst0026|group=143-FR76A|row=0000,upper,1,1
w45,inst0027|group=801-FR322A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0000|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0000,lower,1,1
w45,inst0027|group=801-FR322A.dxf|row=0001|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0001|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0001,lower,1,1
w45,inst0027|group=801-FR322A.dxf|row=0002|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0002|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0002,lower,1,1
w45,inst0027|group=801-FR322A.dxf|row=0003|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0003|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0003,lower,1,1
w45,inst0027|group=801-FR322A.dxf|row=0004|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0004|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0004,lower,1,1
w45,inst0028|group=183-CM2B.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0028|group=183-CM2B.dxf|row=0000|half=upper|part=1of1,inst0028|group=183-CM2B.dxf|row=0000,upper,1,1
w45,inst0029|group=143-FR69B|row=0000|half=lower|part=1of1|seg=1of1,inst0029|group=143-FR69B|row=0000|half=lower|part=1of1,inst0029|group=143-FR69B|row=0000,lower,1,1
w45,inst0030|group=642-BL14A|row=0000|half=upper|part=1of2|seg=1of1,inst0030|group=642-BL14A|row=0000|half=upper|part=1of2,inst0030|group=642-BL14A|row=0000,upper,1,1
w45,inst0030|group=642-BL14A|row=0000|half=lower|part=2of2|seg=1of1,inst0030|group=642-BL14A|row=0000|half=lower|part=2of2,inst0030|group=642-BL14A|row=0000,lower,1,1
w45,inst0031|group=183-CM2B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0031|group=183-CM2B.dxf|row=0000|half=lower|part=1of1,inst0031|group=183-CM2B.dxf|row=0000,lower,1,1
w45,inst0032|group=312-GR2C|row=0000|half=lower|part=1of1|seg=1of1,inst0032|group=312-GR2C|row=0000|half=lower|part=1of1,inst0032|group=312-GR2C|row=0000,lower,1,1
w45,inst0033|group=143-FR65A|row=0000|half=lower|part=1of1|seg=1of1,inst0033|group=143-FR65A|row=0000|half=lower|part=1of1,inst0033|group=143-FR65A|row=0000,lower,1,1
w45,inst0034|group=183-CM2B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0034|group=183-CM2B.dxf|row=0000|half=lower|part=1of1,inst0034|group=183-CM2B.dxf|row=0000,lower,1,1
w45,inst0035|group=143-FR69B|row=0000|half=upper|part=1of1|seg=1of1,inst0035|group=143-FR69B|row=0000|half=upper|part=1of1,inst0035|group=143-FR69B|row=0000,upper,1,1
w60,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1,inst0000|group=804-FR313A|row=0000,lower,1,1
w60,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1,inst0001|group=804-FR313A|row=0000,lower,1,1
w60,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1|seg=1of1,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1,inst0002|group=143-FR65A|row=0000,upper,1,1
w60,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1|seg=1of1,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1,inst0003|group=804-FR315A|row=0000,upper,1,1
w60,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1,inst0004|group=642-BL14A.dxf|row=0000,upper,1,1
w60,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0000,lower,1,1
w60,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0001,lower,1,1
w60,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0002,lower,1,1
w60,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0003,lower,1,1
w60,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1|seg=1of1,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1,inst0006|group=312-GR2C|row=0000,lower,1,1
w60,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1|seg=1of1,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1,inst0007|group=143-GR14A|row=0000,upper,1,1
w60,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1,inst0008|group=145-LB20A|row=0000,upper,1,1
w60,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1,inst0009|group=642-BL14A|row=0000,upper,1,1
w60,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2,inst0010|group=804-FR314A|row=0000,lower,1,1
w60,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2,inst0010|group=804-FR314A|row=0000,upper,1,1
w60,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1,inst0011|group=804-FR313A.dxf|row=0000,lower,1,1
w60,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0000,upper,1,1
w60,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0001,upper,1,1
w60,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0002,upper,1,1
w60,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1|seg=1of1,inst0013|group=143-GR14A|row=0000|half=lower|part=1of1,inst0013|group=143-GR14A|row=0000,lower,1,1
w60,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1|seg=1of1,inst0014|group=804-FR314A|row=0000|half=upper|part=1of1,inst0014|group=804-FR314A|row=0000,upper,1,1
w60,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1|seg=1of1,inst0015|group=165-SR1A|row=0000|half=upper|part=1of1,inst0015|group=165-SR1A|row=0000,upper,1,1
w60,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0016|group=642-BL14A.dxf|row=0000|half=lower|part=1of1,inst0016|group=642-BL14A.dxf|row=0000,lower,1,1
w60,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0017|group=143-FR76A|row=0000|half=upper|part=1of1,inst0017|group=143-FR76A|row=0000,upper,1,1
w60,inst0018|group=826BK312A|row=0000|half=lower|part=1of1|seg=1of1,inst0018|group=826BK312A|row=0000|half=lower|part=1of1,inst0018|group=826BK312A|row=0000,lower,1,1
w60,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0019|group=183-CM2B.dxf|row=0000|half=upper|part=1of1,inst0019|group=183-CM2B.dxf|row=0000,upper,1,1
w60,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1|seg=1of1,inst0020|group=145-LB17A|row=0000|half=upper|part=1of1,inst0020|group=145-LB17A|row=0000,upper,1,1
w60,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0021|group=145-LB20A|row=0000|half=upper|part=1of1,inst0021|group=145-LB20A|row=0000,upper,1,1
w60,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0022|group=143-FR76A|row=0000|half=upper|part=1of1,inst0022|group=143-FR76A|row=0000,upper,1,1
w60,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1|seg=1of1,inst0023|group=801-FR322A|row=0000|half=upper|part=1of1,inst0023|group=801-FR322A|row=0000,upper,1,1
w60,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0024|group=642-BL14A|row=0000|half=upper|part=1of1,inst0024|group=642-BL14A|row=0000,upper,1,1
w60,inst0025|group=804-FR314A|row=0000|half=lower|part=1of2|seg=1of1,inst0025|group=804-FR314A|row=0000|half=lower|part=1of2,inst0025|group=804-FR314A|row=0000,lower,1,1
w60,inst0025|group=804-FR314A|row=0000|half=upper|part=2of2|seg=1of1,inst0025|group=804-FR314A|row=0000|half=upper|part=2of2,inst0025|group=804-FR314A|row=0000,upper,1,1
w60,inst0026|group=143-FR76A|row=0000|half=upper|part=1of1|seg=1of1,inst0026|group=143-FR76A|row=0000|half=upper|part=1of1,inst0026|group=143-FR76A|row=0000,upper,1,1
w60,inst0027|group=801-FR322A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0000|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0000,lower,1,1
w60,inst0027|group=801-FR322A.dxf|row=0001|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0001|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0001,lower,1,1
w60,inst0027|group=801-FR322A.dxf|row=0002|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0002|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0002,lower,1,1
w60,inst0027|group=801-FR322A.dxf|row=0003|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0003|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0003,lower,1,1
w60,inst0027|group=801-FR322A.dxf|row=0004|half=lower|part=1of1|seg=1of1,inst0027|group=801-FR322A.dxf|row=0004|half=lower|part=1of1,inst0027|group=801-FR322A.dxf|row=0004,lower,1,1
w60,inst0028|group=183-CM2B.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0028|group=183-CM2B.dxf|row=0000|half=upper|part=1of1,inst0028|group=183-CM2B.dxf|row=0000,upper,1,1
w60,inst0029|group=143-FR69B|row=0000|half=lower|part=1of1|seg=1of1,inst0029|group=143-FR69B|row=0000|half=lower|part=1of1,inst0029|group=143-FR69B|row=0000,lower,1,1
w60,inst0030|group=642-BL14A|row=0000|half=upper|part=1of2|seg=1of1,inst0030|group=642-BL14A|row=0000|half=upper|part=1of2,inst0030|group=642-BL14A|row=0000,upper,1,1
w60,inst0030|group=642-BL14A|row=0000|half=lower|part=2of2|seg=1of1,inst0030|group=642-BL14A|row=0000|half=lower|part=2of2,inst0030|group=642-BL14A|row=0000,lower,1,1
w60,inst0031|group=183-CM2B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0031|group=183-CM2B.dxf|row=0000|half=lower|part=1of1,inst0031|group=183-CM2B.dxf|row=0000,lower,1,1
w60,inst0032|group=312-GR2C|row=0000|half=lower|part=1of1|seg=1of1,inst0032|group=312-GR2C|row=0000|half=lower|part=1of1,inst0032|group=312-GR2C|row=0000,lower,1,1
w60,inst0033|group=143-FR65A|row=0000|half=lower|part=1of1|seg=1of1,inst0033|group=143-FR65A|row=0000|half=lower|part=1of1,inst0033|group=143-FR65A|row=0000,lower,1,1
w60,inst0034|group=183-CM2B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0034|group=183-CM2B.dxf|row=0000|half=lower|part=1of1,inst0034|group=183-CM2B.dxf|row=0000,lower,1,1
w60,inst0035|group=143-FR69B|row=0000|half=upper|part=1of1|seg=1of1,inst0035|group=143-FR69B|row=0000|half=upper|part=1of1,inst0035|group=143-FR69B|row=0000,upper,1,1
w60,inst0036|group=888-BK304A|row=0000|half=lower|part=1of1|seg=1of1,inst0036|group=888-BK304A|row=0000|half=lower|part=1of1,inst0036|group=888-BK304A|row=0000,lower,1,1
w60,inst0037|group=145-LB20A|row=0000|half=lower|part=1of1|seg=1of1,inst0037|group=145-LB20A|row=0000|half=lower|part=1of1,inst0037|group=145-LB20A|row=0000,lower,1,1
w60,inst0038|group=642-BL14A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0038|group=642-BL14A.dxf|row=0000|half=lower|part=1of1,inst0038|group=642-BL14A.dxf|row=0000,lower,1,1
w60,inst0039|group=165-SR2A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0039|group=165-SR2A.dxf|row=0000|half=upper|part=1of1,inst0039|group=165-SR2A.dxf|row=0000,upper,1,1
w60,inst0039|group=165-SR2A.dxf|row=0001|half=upper|part=1of1|seg=1of1,inst0039|group=165-SR2A.dxf|row=0001|half=upper|part=1of1,inst0039|group=165-SR2A.dxf|row=0001,upper,1,1
w60,inst0039|group=165-SR2A.dxf|row=0002|half=upper|part=1of1|seg=1of1,inst0039|group=165-SR2A.dxf|row=0002|half=upper|part=1of1,inst0039|group=165-SR2A.dxf|row=0002,upper,1,1
w60,inst0040|group=145-LB17A|row=0000|half=lower|part=1of1|seg=1of1,inst0040|group=145-LB17A|row=0000|half=lower|part=1of1,inst0040|group=145-LB17A|row=0000,lower,1,1
w60,inst0041|group=165-SR2A|row=0000|half=lower|part=1of1|seg=1of1,inst0041|group=165-SR2A|row=0000|half=lower|part=1of1,inst0041|group=165-SR2A|row=0000,lower,1,1
w60,inst0042|group=165-SR1A|row=0000|half=lower|part=1of1|seg=1of1,inst0042|group=165-SR1A|row=0000|half=lower|part=1of1,inst0042|group=165-SR1A|row=0000,lower,1,1
w60,inst0043|group=801-FR322A|row=0000|half=lower|part=1of1|seg=1of1,inst0043|group=801-FR322A|row=0000|half=lower|part=1of1,inst0043|group=801-FR322A|row=0000,lower,1,1
w60,inst0044|group=801-FR322A|row=0000|half=lower|part=1of1|seg=1of1,inst0044|group=801-FR322A|row=0000|half=lower|part=1of1,inst0044|group=801-FR322A|row=0000,lower,1,1
